Series 1: HYD,,,Series 2: THL,,,Series 3: DRAWL,,,Series 4: DEMAND,
11.62203256,431.0856113,,13.87293885,4301.950225,,12.79007412,7857.226678,,12.05623904,10169.83987
11.76305515,414.0223345,,13.9787946,4319.368722,,12.87814346,7822.821023,,12.14435913,10152.70047
11.85127673,431.4154591,,14.10223377,4319.546333,,12.96626355,7805.681627,,12.26774755,10135.61182
11.93944757,431.5423236,,14.29615886,4302.559174,,13.08924601,7650.462897,,12.35596913,10153.00494
12.02751691,397.136668,,14.41959803,4302.736785,,13.17726461,7598.790981,,12.44408922,10135.86555
12.115637,379.9972724,,14.52540303,4302.889022,,13.26528321,7547.119066,,12.53195558,10032.39485
12.20380784,380.1241369,,14.64889295,4320.332892,,13.35325106,7478.18089,,12.6376591,9998.01457
12.30961284,380.2763743,,14.7547487,4337.75139,,13.44121891,7409.242714,,12.72582993,9998.141435
12.48595451,380.5301034,,14.87813712,4320.66274,,13.60002791,7444.00359,,12.84921836,9981.052785
12.60913995,294.3764134,,14.98389138,4303.548718,,13.72372081,7530.512501,,12.9372877,9946.64713
12.6972093,259.9707577,,15.12491397,4286.485441,,13.84721073,7547.956371,,13.04283897,9860.468067
12.78532939,242.8313622,,15.21308481,4286.612305,,13.93543231,7565.349496,,13.14844099,9791.555264
12.87350022,242.9582267,,15.31894055,4304.030803,,14.0235524,7548.2101,,13.23656108,9774.415868
12.96167106,243.0850912,,15.44243047,4321.474673,,14.12950964,7600.161118,,13.32463043,9740.010213
13.0497404,208.6794356,,15.54823547,4321.626911,,14.23546688,7652.112136,,13.41269977,9705.604557
13.13791124,208.8063001,,15.63645705,4339.020035,,14.37689544,7773.178939,,13.50081986,9688.465161
13.22608207,208.9331646,,15.72467864,4356.41316,,14.48295417,7859.662477,,13.58909219,9723.124546
13.31425291,209.0600291,,15.83043289,4339.299137,,14.57127724,7911.588122,,13.67731377,9740.517671
13.40252524,243.7194138,,15.93628864,4356.717634,,14.67743746,8032.60418,,13.7833725,9827.001208
13.49069607,243.8462783,,16.04209365,4356.869872,,14.76576054,8084.529824,,13.87159408,9844.394333
13.57886691,243.9731428,,16.14789865,4357.022109,,14.85388063,8067.390429,,14.01241369,9758.266016
13.66693625,209.5674872,,16.25355141,4305.375567,,14.95983787,8119.341446,,14.10063527,9775.65914
13.75510709,209.6943517,,16.34162076,4270.969911,,15.08307405,8050.454016,,14.20654177,9810.343898
13.84327793,209.8212162,,16.44747651,4288.388408,,15.17124489,8050.580881,,14.2948141,9845.003283
13.94908293,209.9734536,,16.55333225,4305.806906,,15.43611262,8171.825295,,14.41845625,9914.245933
14.05488793,210.125691,,16.67677143,4305.984516,,15.52428345,8171.952159,,14.50677932,9966.171578
14.16069293,210.2779284,,16.78267792,4340.669274,,15.77095881,8103.24234,,14.59505165,10000.83096
14.24886377,210.4047929,,16.87084876,4340.796138,,15.8590789,8086.102944,,14.70116113,10104.58076
14.33703461,210.5316575,,16.97665376,4340.948376,,15.94735123,8120.762329,,14.7894842,10156.50641
14.42520544,210.658522,,17.15299543,4341.202105,,16.03562355,8155.421713,,14.89533995,10173.9249
14.51337628,210.7853865,,17.31175368,4358.696721,,16.19392509,8017.519989,,14.98351079,10174.05177
14.60154711,210.912251,,17.50578026,4376.242083,,16.29927338,7862.275886,,15.07158013,10139.64611
14.68971795,211.0391155,,17.61158527,4376.39432,,16.47607177,8017.925956,,15.30077356,10122.7097
14.77799028,245.6985001,,17.73497369,4359.305671,,16.56454708,8121.65038,,15.4424051,10312.84154
14.88379528,245.8507376,,17.84077869,4359.457908,,16.67075805,8259.932698,,15.53072817,10364.76719
14.97201686,263.2438621,,17.9465837,4359.610145,,16.75923336,8363.657123,,15.70656238,10192.35832
15.06023844,280.6369867,,18.05218572,4290.697343,,16.86549507,8519.205701,,15.86562511,10313.45049
15.18403283,401.6784175,,18.15778774,4221.78454,,16.97150306,8588.422979,,15.95384669,10330.84362
